Patrick1	Parity = 0.528094634558513	Variance = 878.969172130374
Mark1	Parity = 0.305810397553517	Variance = 467.874181805323
Mark4	Parity = 0.279255319148936	Variance = 2728.95461432341
Patrick6	Parity = 0.228571428571429	Variance = 2469.43116481869
Mark2	Parity = 0.185414091470952	Variance = 869.077176601071
Mark3	Parity = 0.181598062953995	Variance = 800
Patrick4	Parity = 0.163256955810147	Variance = 3172.90230353501
Chris1	Parity = 0.0740740740740741	Variance = 2641.71924237901
Patrick2	Parity = 0.0598802395209581	Variance = 2450
Mark6	Parity = 0.0588235294117647	Variance = 1110.65702526828
Mark5	Parity = 0.0267165375367352	Variance = 1197.98007078582
Patrick3	Parity = 0	Variance = 4710.69446696675
Patrick5	Parity = 0	Variance = 6078.17132587316
Chris2	Parity = 0	Variance = 2090.75760458048
Lauren1	Parity = 0	Variance = 3195.70295257728
Lauren2	Parity = 0	Variance = 3725.0652492421
Rachel1	Parity = 0	Variance = 2560.33520423102
Rachel2	Parity = 0	Variance = 1960.30043048962
